Matches,MeanDist,Size,Time
,,8294400,2.1325
0.3233,0.0571,8294400,1.6952
0.2514,0.0673,8294400,1.9008
0.22,0.0716,8294400,1.6947
0.3458,0.1314,8294400,1.431
0.3131,0.0946,8294400,1.4635
,,8294400,2.2706
0.1369,0.1183,8294400,1.7674
0.1698,0.0983,8294400,1.4831
0.1621,0.0495,8294400,1.7342
0.1519,0.0675,8294400,1.3104
0.0459,0.1239,8294400,1.5821
0.3022,0.1906,8294400,1.0763
0.0898,0.065,8294400,1.4235
0.2905,0.1072,8294400,1.3705
0.3452,0.1275,8294400,1.3555
,,8294400,1.2119
,,8294400,1.1538
,,8294400,1.0943
0.2966,0.1399,8294400,1.1008
,,8294400,1.2254
0.243,0.1843,8294400,1.2924
0.4122,0.1979,8294400,1.2679
,,8294400,1.2719
0.171,0.1247,8294400,1.6557
,,8294400,1.8533
0.0969,0.1377,8294400,2.4437
,,8294400,1.5496
0.2684,0.0787,8294400,1.7798
0.1711,0.086,8294400,1.5861
,,8294400,1.7022
0.1873,0.133,8294400,1.8858
0.3655,0.0961,8294400,1.7102
,,8294400,1.7733
,,8294400,1.7347
,,8294400,2.4687
0.0692,0.0945,8294400,2.5018
0.2222,0.1217,8294400,2.9061
0.2286,0.0891,8294400,2.6194
0.1319,0.0642,8294400,3.9158
0.1149,0.0757,8294400,3.7211
0.1568,0.0818,8294400,5.4744
0.1057,0.0652,8294400,5.3818
,,8294400,3.9283
0.1358,0.0522,8294400,4.6088
0.1266,0.0851,8294400,4.1509
0.0921,0.0835,8294400,4.7869
0.0676,0.0635,8294400,5.1126
,,2073600,1.5571
,,2073600,1.5016
,,2073600,1.0442
,,2073600,0.5124
,,2073600,0.7981
0.1753,0.1565,2073600,0.7951
,,2073600,0.5179
0.4224,0.13,2073600,0.9667
,,2073600,0.8281
,,2073600,0.3628
,,2073600,0.6269
0.6067,0.1653,2073600,0.9582
,,2073600,0.8661
0.3939,0.1698,2073600,1.5921
0.443,0.1828,2073600,1.2989
,,2073600,0.7961
,,2073600,1.1073
,,2073600,0.6139
0.4534,0.1443,2073600,1.415
,,2073600,1.1939
,,2073600,0.8566
,,2073600,1.5056
0.2513,0.1218,2073600,0.6029
0.3347,0.115,2073600,0.6585
0.224,0.0904,2073600,0.6965
0.4723,0.1012,2073600,0.6129
,,2073600,0.5754
0.1271,0.0904,2073600,0.6595
0.3184,0.1152,2073600,0.4958
0.484,0.0842,2073600,0.6069
0.4671,0.08,2073600,0.5874
0.2872,0.1223,2073600,0.4618
0.5082,0.0995,2073600,0.4453
,,2073600,0.6375
,,2073600,0.4358
,,2073600,0.7375
,,2073600,0.8056
0.3443,0.0854,2073600,0.6169
0.2352,0.1386,2073600,0.7535
0.0821,0.0779,2073600,0.5874
,,2073600,0.9607
,,2073600,0.5419
0.1939,0.1091,2073600,0.5314
0.162,0.1108,2073600,0.8301
0.1702,0.0521,2073600,0.5249
0.2355,0.0672,2073600,0.4823
,,129792,0.2532
,,129792,0.2702
0.3633,0.1473,129792,0.2297
0.6636,0.107,129792,0.1466
0.2285,0.102,519168,1.2114
,,519168,0.9672
0.2738,0.1539,519168,0.3623
0.3097,0.1287,519168,0.1476
,,519168,0.4528
,,519168,0.4938
,,1228800,1.6707
0.1521,0.097,1228800,2.844
,,1228800,1.6727
,,1228800,1.5541
0.0912,0.0599,1228800,1.0748
,,1228800,1.5806
,,1228800,1.7332
,,1228800,0.1546
,,1228800,2.5138
0.2843,0.1384,1228800,2.9341
