Image,Matches,MeanDist,Time/Size
1,0.7021,0.2128,0.416
2,0.6897,0.2109,0.455
3,0.7358,0.1877,0.378
4,0.5405,0.1727,0.393
5,0.625,0.2168,0.393
6,0.3182,0.2443,0.416
7,0.6452,0.2072,0.299
8,0.7576,0.1993,0.268
9,0.7143,0.1661,0.276
10,0.6341,0.1953,0.2
11,0.7297,0.1748,0.216
12,0.7581,0.1782,0.189
13,0.44,0.2104,0.355
14,0.5909,0.207,0.189
15,0.8372,0.1771,0.443
16,0.6923,0.2157,0.251
17,0.6923,0.2157,0.251
18,0.7372,0.1616,0.293
19,0.3333,0.1956,0.401
20,0.2903,0.1882,0.439
21,0.3333,0.2281,0.355
22,0.5429,0.1819,0.37
23,0.5,0.2089,0.347
24,0.6111,0.1951,0.293
25,0.6739,0.1907,0.301
26,0.7381,0.2161,0.362
27,0.5909,0.1978,0.393
28,0.6,0.1834,0.424
29,0.5172,0.2177,0.447
30,0.5,0.2258,0.293
31,0.4091,0.2149,0.401
32,0.4091,0.2149,0.401
33,0.3182,0.1822,0.362
34,0.3182,0.1822,0.362
35,0.3182,0.1822,0.362
36,0.44,0.2436,0.37
37,0.5,0.2606,0.37
38,0.4375,0.3595,0.208
39,0.6071,0.3627,0.17
40,0.6071,0.3627,0.17
41,0.6071,0.3627,0.17
42,0.2857,0.2184,0.493
43,0.2857,0.2184,0.493
44,0.2857,0.2184,0.493
45,0.2857,0.2184,0.493
46,0.5714,0.2037,0.332
47,0.6486,0.1963,0.324
48,0.3462,0.2153,0.447
49,0.3462,0.2153,0.447
50,0.625,0.2306,0.339
51,0.6296,0.1988,0.362
52,0.6296,0.1988,0.362
53,0.6296,0.1988,0.362
54,0.6296,0.1988,0.362
55,0.5238,0.2099,0.31
56,0.6296,0.1704,0.326
57,0.6038,0.1958,0.278
58,0.6571,0.2346,0.318
59,0.6571,0.2346,0.318
60,0.4,0.2454,0.401
61,0.6571,0.1897,0.243
62,0.8065,0.1949,0.349
63,0.8065,0.1949,0.349
64,0.5909,0.1937,0.478
65,0.7,0.185,0.439
66,0.5926,0.2012,0.409
67,0.7963,0.1837,0.455
68,0.6,0.2116,0.235
69,0.6176,0.1753,0.409
70,0.4222,0.2331,0.216
71,0.2826,0.2366,0.463
72,0.4545,0.249,0.216
73,0.3235,0.2377,0.386
74,0.4828,0.279,0.193
75,0.4348,0.2247,0.224
76,0.5072,0.1817,0.27
77,0.3429,0.2309,0.339
78,0.6667,0.2084,0.254
79,0.375,0.2243,0.362
80,0.5526,0.2183,0.332
81,0.6857,0.2,0.332
82,0.6667,0.2065,0.362
83,0.6716,0.1736,0.432
84,0.6716,0.1736,0.432
85,0.6129,0.1965,0.316
86,0.6207,0.2408,0.301
87,0.5,0.2339,0.262
88,0.375,0.3198,0.285
89,0.5238,0.2421,0.324
90,0.625,0.2188,0.278
91,0.5405,0.2115,0.262
92,0.6957,0.2154,0.293
93,0.4231,0.1646,0.278
94,0.3871,0.1911,0.332
95,0.3913,0.2447,0.27
96,0.3636,0.293,0.278
97,0.5185,0.2061,0.285
98,0.5484,0.1935,0.339
99,0.5217,0.2053,0.47
100,0.5217,0.2053,0.47
101,0.5185,0.1942,0.324
102,0.4615,0.2333,0.355
103,0.4615,0.2333,0.355
104,0.4615,0.2333,0.355
105,0.4615,0.2333,0.355
106,0.4615,0.2333,0.355
107,0.4615,0.2333,0.355
108,0.4615,0.2333,0.355
109,0.4615,0.2333,0.355
110,0.4615,0.2333,0.355
111,0.4615,0.2333,0.355
112,0.4615,0.2333,0.355
113,0.4615,0.2333,0.355
114,0.4615,0.2333,0.355
115,0.4615,0.2333,0.355
116,0.4615,0.2333,0.355
117,0.4615,0.2333,0.355
118,0.4615,0.2333,0.355
119,0.4615,0.2333,0.355
120,0.4615,0.2333,0.355
